comment_id,parent_comment_id,author,text,published_at,likes,reply_count
UgwSJwQ6_nNgfXTgYOp4AaABAg,,@AMARULLOHPRASESA,"kalau sanggup bayar guru sama pegawai sekolah swasta setara pegawai negeri nggak papa tapi yakin bisa? sekolah swasta mahal karena menawarkan pelayanan lebih sesuai keinginan dan kebutuhan anak dan orang tua, seperti waktu sekolah lebih lama full day (berguna bagi orang tua pekerja), dan pelajaran tambahan knowledge dan fasilitas sarana prasarana lebih dari sekolah negeri, dan untuk menjalankan  itu butuh dana yang besar apakah sanggup pemerintah menalanginya, menurut saya nggak akan sanggup, lagi pula jika ingin gratis ya berarti akan ada penyeragaman kualitas, mulai dari jam kerja sampai fasilitas sarana dan prasarana, dan nggak semua  orang tua menginginkan anaknya sekolah di sekolah dengan kulitas dan fasilitas dan sarana  standar, tapi ya namanya Indonesia mau ngomong apa. tapi intinya kalau berani punya anak harus berani berkorban banyak secara finansial.",2025-05-27T17:59:37Z,0,0
UgwJ2aiDmwacR3O8ppt4AaABAg,,@abdurrahmandzakipermana7460,"SPP gratis tapi..
iuran ini itu banyak banget😂",2025-05-27T17:49:50Z,1,0
UgyFtI_NWnJ33b8T18p4AaABAg,,@syarifmuhammad936,Apakah ya mau kepala sekolah dan yayasannya.??? Pendidikan itu Lahan basah,2025-05-27T17:43:43Z,0,0
UgyTtOJLXGC06ivJXyt4AaABAg,,@mulyaqmungKelapadua,Alhamdulilah🎉❤,2025-05-27T17:41:37Z,0,0
Ugzz1nA55fkD-2EwOGd4AaABAg,,@WarkopLupus,"Gratis ?bukti nya masih aja sekolah2 mewajibkan murid beli seragam,buku dll dengah jumlah jutaan rupiah",2025-05-27T17:36:09Z,0,0
UgwNA3b1_9SkAKVJQTd4AaABAg,,@cukimstanley8886,"Gak Mungkin..... 😂😂
Saya sudah di tipu P3k... 
Kerja 7 tahun, gak bisa di angkat P3k
Malah Orang Dalam yg baru kerja di angkat p3k.... 
Dengan Alasan tidak lulus administrasi... 
Sama Hal nya dengan ini...
Hanya pengalihan isu buat nyenengin hati rakyat dibawal saja",2025-05-27T17:36:08Z,3,0
Ugw2iRJpTh3JLtt15NF4AaABAg,,@cokymecin983,"gratis tapi punglinya banyaaak , uang gedung , buku , ujian , study tour dll nya ",2025-05-27T17:33:14Z,0,0
UgxxhI7z6--HHjqdC_54AaABAg,,@handoyosantoso128,Gratis .......dgn tapi,2025-05-27T17:30:04Z,0,0
UgybcHHfXFIEsl0my014AaABAg,,@saya8098,Sekolah sewasta gratis? Lama2 mereka gulung tikar karena ga bisa gaji guru,2025-05-27T17:27:17Z,1,0
UgxqSBj74T6hfv_qmo94AaABAg,,@bukansangpecundang6627,Pada prakteknya bohong semua,2025-05-27T17:26:21Z,0,0
UgwrAFXKec0NwrU5wtB4AaABAg,,@adrianlazuardypratama5462,"Kenapa yang swasta kena juga, takut terlihat korupnya kah sekolah negeri ? karena yang saya lihat sekolah swasta fasilitasnya lebih mantap ketimbang negeri . Lalu apakah nanti yang swasta dapat dana bantuan dari pemerintah atau fasilitasnya dibiayai sama pemerintah ?",2025-05-27T17:25:40Z,0,1
UgwrAFXKec0NwrU5wtB4AaABAg.AId50dY_bFLAId6EzLLPdB,UgwrAFXKec0NwrU5wtB4AaABAg,@saya8098,Yang bener aja lah masa pemerintahan yang nanggung. Yang ada bangkrut negara. Program makan siang gratis aja puluhan triliun biayanya,2025-05-27T17:36:22Z,0,0
UgwSWuVCN4zbHqzlV794AaABAg,,@awanbudi1496,Percuma banyak pungli guru” nya,2025-05-27T17:22:04Z,0,0
UgwH-yIwr5NTW5jSYYd4AaABAg,,@ilhamchoy1012,Mantap....tinggal dinas pendidikan di daerah masing2 apa masih ada yg cari untung.,2025-05-27T17:20:43Z,0,0
Ugwt_so8AWlNDh-y6Y94AaABAg,,@thaffabee7294,Belum merata,2025-05-27T17:19:18Z,0,0
UgzK0G2P8-couaDSTPx4AaABAg,,@aghnymardhiyah1157,Guru & karyawan SD swasto digaji darimana? Hayooo mikir dong!,2025-05-27T17:13:18Z,7,0
UgwrbNm5iitBft_LXR94AaABAg,,@rizkysoemanagara2494,swasta gratis?,2025-05-27T17:08:44Z,0,0
UgzIYtQ0CY2tWgvxjYt4AaABAg,,@indrayudhistira-bi9tf,Ndobolllll😂😂😂😂,2025-05-27T17:07:33Z,0,0
UgyFeWud3sYMTuugjUl4AaABAg,,@kucingtunjuk9880,"*SWASTA???* ⁉️⁉️⁉️⁉️
*TRUA YG BAYAR SIAPA? NEGARA??*
*KALO GITU GUA BIKIN SEKOLAH SWASTA AJA DAH. BIAR DAPAT DUIT DARI PEMERINTAH.*",2025-05-27T16:50:47Z,0,0
UgyoqSk4w3BW-KAQiYV4AaABAg,,@JamalUdin-x8r,"Harus nya di prioritaskan bagi orang tidak mampu dan anak putus  ,,  banyak yang sekolah  negri mereka mampu , yang seharusnya mereka sekolah swasta, jika ada anak didik tidak mampu dan bersekolah di swasta harus di subsidi bahkan di tanggung semua  APBN kita sudah terbebani ASN semakin banyak,",2025-05-27T16:27:19Z,0,0
UgyFXYgtW5tVXQsTkrh4AaABAg,,@cikicikibumbum259,"Hakim otak curut. Yayasan Pendidikan swasta juga punya hak untuk berbisnis. Itu cara mereka mecari penghidupan. 

Yang punya kewajiban atas warganya itu cuma negara. Bukan swasta.",2025-05-27T16:21:44Z,1,0
UgxAzElidNDzHurnXxF4AaABAg,,@leonardBeni,Yang mau bayar operasional sekolah swasta siapa?,2025-05-27T16:19:22Z,0,2
UgxAzElidNDzHurnXxF4AaABAg.AIcyQztILnKAIczBZSFxDv,UgxAzElidNDzHurnXxF4AaABAg,@cikicikibumbum259,Disuruh tutup.,2025-05-27T16:26:00Z,0,0
UgxAzElidNDzHurnXxF4AaABAg.AIcyQztILnKAId6TJK_CpD,UgxAzElidNDzHurnXxF4AaABAg,@saya8098,Itu buat memaksa sekolah swasta pelan2 biar bangkrut tutup biar bisa diambil alih pemerintah,2025-05-27T17:38:20Z,0,0
UgxrawhWj6zvydnr6o14AaABAg,,@RiskiZP,"Iya dong jangan hanya sekolah negri yg gratis sampai SMA/Aliyah,  Yg Swasta juga harus diberi gratis dong....kecuali sekolah orang kaya sekolah type internasional mahal mewah",2025-05-27T16:15:30Z,1,0
UgwQZYzIDkr7GwwJbRZ4AaABAg,,@youtuberkuliner,"INI BARU BERITA KEPENTINGAN RAKYAT, SEMOGA TEREALISASI, AAMIIN ❤",2025-05-27T16:12:55Z,0,0
UgxGruDWC1ubt5MTcbd4AaABAg,,@rdwfauzan,"Nah Lo, darimana pembiayaan puluhan juta siswa SD dan SMP sementara APBN sdh defisit berat.",2025-05-27T16:06:32Z,0,0
UgxEeAOW4QCyeCneG-94AaABAg,,@LabProdia-i4f,"Wkwkwk konyol banget. Yg pnya sekolah swasta itu elo suruh nanggung semua biaya pengeluaran sekolahnya? Yg pnya sekolah pikir, lbh baik gue tutup drpd rugi. Pemerintah apaan ini hobi banget bikin aturan gk masuk akal seenak jidat.",2025-05-27T15:40:44Z,0,1
UgxEeAOW4QCyeCneG-94AaABAg.AIcu0-0KaoLAId6Yi3_BEh,UgxEeAOW4QCyeCneG-94AaABAg,@saya8098,"Kan dapat pahala, ga rugi2 amat",2025-05-27T17:39:04Z,0,0
Ugy9PJtqacHyCeYVi9B4AaABAg,,@alaowww,Yg harusnya di hapus tuh zona. Swasta untuk mampu mau kasi subsidi?,2025-05-27T15:36:18Z,0,0
Ugy3WvwtO56EurAnQ4F4AaABAg,,@hhh-k9o,"Setau gw SWASTA kan gak ikut pemerintah gitu ya.. Makanya bayar  ... Mungkin kya bayar SPP. kan dri awal kya mandiri gitu.. (Sepengetahuan gue aja sih) ... 
Klo NEGERI kan ikut PEMERINTAH jdi klo pemerintah bilang gratis ya gratis krna smuanya di biayai sama PEMERINTAH. (Sepengetahuan gw aja juga sih.) klo ad pendpt lain silahkan..",2025-05-27T15:35:08Z,0,0
Ugy5KHwqTLfYyQv4-od4AaABAg,,@Yahiko-c3w,"Terus yg buat gaji guru sekolah swasta duitnya darimana..kocak kocak.... yg sekolah negri aja pemerintah ga bisa gaji guru honorer dengan manusiawi masa gaji guru (honorer)sebulan 300 rebu perak.udah gitu kadang2 masih  di laporin ke polisi cuma gara2 keras sama murid nya...kan lucu..kecuali kalo semua guru2 sekolah swasta gajinya di tanggung sama negara baru itu adil ...sekolah swasta(yayasan) kan punya biaya operasional gaji guru,,biaya perawatan gedung sekolah ,,biaya beli alat/mesin /komputer untuk keperluan pembelajaran skill/praktek sekolah...jadi biarkan yg swsta tetap bayar,,,tinggal banyakin aja pemerintah bgun sekolah negri/tambah ruang kelas baru biar ketampung semua...untuk yg swasta biar jadi pilihan orang tua masing2 sesuai ekonomi...selama sekolah negri di perbanyak/ruang gedung di tambah..ga jadi masalah...dan problem sekarang ini kan justru sekolah negri suka ngebatasi penerimaan siswa dengan alasan   gedung sekolah kurang,,,jadi orang tua terpaksa masukin ke swasta inget ya TERPAKSA bukan karena mampu...belum lagi afa seleksi sekolah favorit nilainya harus sekian...kan lucu katanya negara mewajibkan sekolah 9tahun...tapi mau sekolah aja masih seleksi nilai kan lucu artinya yg nilainya kurang ga bisa sekolah karena ga di terima akhirnya kembali lagi ke swasta...jadi sebenernya problem nya justru di pemerintah sendiri padahal tiap tahun afa aja kegaduhan terkait penerimaan siswa baru banyak yg ga di terima di sekolah negri...kenapa ga buru2 menganggarkan duit buat sekolah baru /gefung baru.biar ketampung semua tuh murid nya",2025-05-27T15:34:06Z,0,0
UgwhEmvySnazySaVCEZ4AaABAg,,@m-r-a-f8229,Sebenernya bisa gratis sampe SMA juga sih kalo ga kebanyakan dikorupsi,2025-05-27T15:32:23Z,0,0
UgxxCKrnvXFYf1Gdkel4AaABAg,,@Elisa-bq2jp,Pemerintah sadar gak... MANA BISA SEKOLAH SWASTA MENGGRATISKAN PENDIDIKAN DI SEKOLAHNYA... LALU DARIMANA UANG UNTUK MEMBIAYAI KBM GAJI GURU DAN YG LAINNYA...  DANA BOS HANYA MEMBANTU SEBAGIAN KECIL KEBUTUHAN SEKOLAH SWASTA... JANGAN MATIKAN SEKOLAH SWASTA ..,2025-05-27T15:30:10Z,4,1
UgxxCKrnvXFYf1Gdkel4AaABAg.AIcsnh7LgUEAIdbOef0Izh,UgxxCKrnvXFYf1Gdkel4AaABAg,@ahmad_nurhadi,Tutup aja,2025-05-27T22:17:19Z,0,0
UgzGSWMo1ToXo06uAm94AaABAg,,@Phantomkuro1,Sebenarnya kalau sekolah negeri gratis sih ok kalau sekolah swasta gratis ya jangan itu gaji guru dari uang spp murid loh ada uang pembangunan gedung itu kalau tidak diurus malah runtuh,2025-05-27T15:28:25Z,0,0
Ugyrsk_Zasw8J8bGmTF4AaABAg,,@HendriEkoWijaksono,Lalu uang gaji guru swasta dari mana..toh guru swasta lebih tangguh jawab dari pada pns dari segi kinerja,2025-05-27T15:28:04Z,4,0
UgzG9Jh9MhueG6mAmLF4AaABAg,,@pompomikuna2761,Swasta gratis? ..kebijakan yg ngadi2...mbg aja kembang kempis..bpjs banyak utang..guru honorer gaji ga layak..udah gitu banyak murid yg ga tau pengetahuan dasar...mau jadi apa lagi nanti pendidikannya?..fokus aja gratisin sekolah negri dan diperbaiki kwalitasnya..swasta biarin aja berbayar untuk anak2 orang yg mampu..skolah swasta kan lapangan kerja juga untuk pekerjanya,2025-05-27T15:27:02Z,0,0
Ugw607zpiym0d4xLIGZ4AaABAg,,@muismail4658,"Ayo swasta ,jangan main main kau",2025-05-27T15:26:44Z,0,0
UgwH5UIOgI-gjSYiH2N4AaABAg,,@marcopolo9707,"Lahh...trus siapa yg bayarin swasta???? Di bayarin pemerintah kah???? Wahh bisa2 kalo di bayari pemerintah nanti swasta bisa jadi kehilangan ""semangat bersaing"" dan cenderung kelas edukasinya kek negri dong...
Swasta kan bersaing dengan cara ""kualitas pendidikanya"" dwngan swasta lain...klo dibayari pemerintah nanti mereka fokusnya ke ""menampung siswa sebanyak2nya"" dripada ke kualitas lagi...
Coba yuk diskusi klo ada opini lain?",2025-05-27T15:23:21Z,0,2
UgwH5UIOgI-gjSYiH2N4AaABAg.AIcs0eh7Mv-AIcusYva81Q,UgwH5UIOgI-gjSYiH2N4AaABAg,@onefaithtv9312,Justru karena sekolah swasta gratis pasti masuknya tes. Tidak semudah di negeri. Kalau tidak semua orang mau sekolah ke swasta daripada negeri. Yang fasilitas nya lengkap dan sekolah nya bagus.,2025-05-27T15:48:19Z,0,0
UgwH5UIOgI-gjSYiH2N4AaABAg.AIcs0eh7Mv-AIe8xez2VZI,UgwH5UIOgI-gjSYiH2N4AaABAg,@marcopolo9707,"​@@onefaithtv9312 laiyaaaa itu maksud gw ✊👊...swasta itu profit base...klo dibiayai pemerintah, mereka bisa kehilangan semangat saing dengan negri dan swasta lain.
Walopun masuknya tes, mereka tetep bakal ngejar ""quota""
Pasti gak semua swasta sih, pasti ada yg masih menjaga integritas dan kualitas tapi pasti banyak yg jadi ""nakal""",2025-05-28T03:19:19Z,0,0
